LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.0286218691617|0.363471806049|1.93320786953,0.409074544907|0.349873423576|1.83591115475,-0.178806006908|0.283998370171|1.92732274532,0.597629845142|0.189607292414|1.78182268143,-0.164407581091|0.53796517849|1.8644131422,0.62136554718|0.0621132068336|1.6118748188,-152.0,2,-143.0,2,67.0,2,-129.0,2
0.0253678169101|0.365510165691|1.93537151814,0.406312555075|0.353157550097|1.83582162857,-0.180667415261|0.345947891474|1.92416119576,0.597673177719|0.192773386836|1.78255105019,-0.161372184753|0.54919975996|1.87728345394,0.620830416679|0.0656545758247|1.61220872402,-161.0,1,-143.0,2,80.0,2,-128.0,2
0.0230674818158|0.366439670324|1.93680977821,0.404227465391|0.353830426931|1.83525168896,-0.182915329933|0.346046149731|1.92456698418,0.595772385597|0.190783366561|1.78305351734,-0.161280229688|0.55305480957|1.88119971752,0.615139782429|0.0651355162263|1.61102724075,-160.0,1,-142.0,2,79.0,2,-127.0,2
0.0223558675498|0.366799473763|1.93713760376,0.40323227644|0.353842288256|1.83515202999,-0.183531284332|0.345787554979|1.92585980892,0.589756190777|0.183994695544|1.78603422642,-0.161367937922|0.554188609123|1.88212203979,0.60562235117|0.0634684935212|1.6098253727,-160.0,1,-141.0,2,79.0,2,-126.0,2
0.0219625998288|0.367216020823|1.93743860722,0.402652949095|0.35335278511|1.83551299572,-0.18386554718|0.346385359764|1.92772579193,0.583026587963|0.178055197001|1.79495131969,-0.16160595417|0.554947495461|1.88235247135,0.600105881691|0.0748104080558|1.60784888268,-161.0,1,-138.0,2,79.0,2,-122.0,2
0.0219074357301|0.368716329336|1.93790912628,0.402498424053|0.352673321962|1.83701407909,-0.183769568801|0.347440510988|1.9302932024,0.584071159363|0.180431097746|1.81743609905,-0.16168782115|0.555894553661|1.88131332397,0.597006440163|0.133432507515|1.60806322098,-161.0,1,-138.0,2,79.0,2,-106.0,2
0.0223459918052|0.370941579342|1.93775582314,0.404688984156|0.351731777191|1.84003400803,-0.191930472851|0.311464637518|1.95354640484,0.588296055794|0.185245335102|1.83227980137,-0.161036759615|0.558142662048|1.8776204586,0.618776917458|0.220925435424|1.62299978733,-159.0,2,-139.0,2,67.0,2,91.0,2
0.0230906121433|0.372914552689|1.93688833714,0.408536821604|0.351576328278|1.84430468082,-0.191913351417|0.311372190714|1.95383155346,0.598472952843|0.201554402709|1.84743130207,-0.16011826694|0.559232592583|1.87424838543,0.636991143227|0.314285308123|1.64547789097,-159.0,2,-142.0,2,67.0,2,80.0,2
0.02449728176|0.375228404999|1.93535888195,0.412043809891|0.351682513952|1.84710848331,-0.191544502974|0.311399519444|1.95589196682,0.619343161583|0.230762213469|1.84677267075,-0.160049080849|0.558291077614|1.87128925323,0.656535923481|0.416647791862|1.67253267765,-159.0,2,-151.0,2,66.0,2,76.0,2
0.0257051568478|0.377093434334|1.93554520607,0.419696092606|0.355455905199|1.8516061306,-0.191713944077|0.312100470066|1.95810306072,0.643302440643|0.272817879915|1.8417365551,-0.160196229815|0.558219909668|1.87066602707,0.669546723366|0.509211778641|1.7231054306,-159.0,2,-160.0,2,66.0,2,79.0,2
