LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.0130578288808|0.406751334667|1.06896984577,0.341525673866|0.405320674181|1.02823102474,-0.100164987147|0.226034775376|1.02696990967,0.486719697714|0.193261951208|1.02120447159,-0.0350958630443|0.139085963368|0.761678338051,0.48627269268|-0.0308136418462|0.92147898674,-119.0,2,-125.0,2,-108.0,0,-140.0,0
0.0106638940051|0.406641900539|1.06928575039,0.340674757957|0.405775606632|1.02516996861,-0.155350506306|0.199763044715|1.02923095226,0.483463913202|0.193480685353|1.01900184155,-0.0680160969496|0.151431158185|0.834330737591,0.485599935055|-0.0311173927039|0.921226263046,-126.0,2,-124.0,2,-93.0,0,-141.0,0
0.00819265563041|0.406922310591|1.06935322285,0.337540447712|0.406102389097|1.01988792419,-0.155796185136|0.187391027808|1.04055249691,0.479076623917|0.19523319602|1.01340925694,-0.0434347316623|0.144711598754|0.780150413513,0.483476340771|-0.0313709005713|0.917676925659,-125.0,2,-124.0,2,-89.0,0,-142.0,0
0.00378696899861|0.409632831812|1.07065761089,0.332017570734|0.408010572195|1.01314473152,-0.165396168828|0.195404931903|1.04001677036,0.474625229836|0.201293125749|1.00407040119,-0.0522823855281|0.163353413343|0.790037453175,0.475138694048|-0.0319324545562|0.902427196503,-126.0,2,-125.0,2,-87.0,0,-140.0,0
-0.000327187939547|0.412870168686|1.07278299332,0.325537800789|0.412128329277|1.0056886673,-0.169888436794|0.190779492259|1.0262516737,0.470308065414|0.213261783123|0.993193507195,-0.0571449920535|0.173111483455|0.798572480679,0.42536726594|-0.00814255420119|0.864944338799,-123.0,2,-126.0,2,-86.0,0,-128.0,0
-0.00164546095766|0.41639405489|1.07321918011,0.31912150979|0.419875979424|0.997287750244,-0.122220300138|0.179147928953|0.981433391571,0.44607180357|0.23999029398|0.972161591053,-0.0503444559872|0.186791822314|0.778659760952,0.359728336334|0.0523766465485|0.829485297203,-111.0,2,-125.0,2,-98.0,0,-118.0,0
0.00143386947457|0.427778303623|1.06917977333,0.317794471979|0.420195251703|0.991590321064,-0.112777277827|0.196230232716|0.97815155983,0.440957486629|0.248693406582|0.955814898014,-0.0454611741006|0.216400146484|0.774655759335,0.287896752357|0.143571212888|0.816671311855,-108.0,2,-128.0,2,-96.0,0,-95.0,0
0.0194850750268|0.469893395901|1.06365847588,0.319803893566|0.423342645168|0.97212600708,-0.0946424752474|0.223059624434|0.978682994843,0.401768296957|0.233653709292|0.902933239937,-0.0350654162467|0.2830119133|0.780733704567,0.157658413053|0.21873216331|0.78728467226,-100.0,2,-125.0,2,-86.0,0,-81.0,0
0.0308528319001|0.480330377817|1.05509448051,0.322050154209|0.431892722845|0.951589107513,-0.0872454866767|0.247108742595|0.963675200939,0.389875918627|0.235098272562|0.885606169701,-0.0362579151988|0.309844493866|0.764194130898,0.201050147414|0.287782907486|0.798772275448,-99.0,2,-122.0,2,-88.0,0,-68.0,0
0.0279605798423|0.440953969955|1.02913141251,0.318091720343|0.43044513464|0.933476030827,-0.0845580101013|0.259622126818|0.937952697277,0.381561726332|0.235091924667|0.857274353504,-0.0541204996407|0.338304489851|0.739970207214,0.119653888047|0.322399973869|0.778588593006,-108.0,2,-114.0,2,90.0,0,-64.0,0
0.0137677360326|0.335465878248|0.98452436924,0.312388658524|0.445429414511|0.90873581171,-0.142831087112|0.218216612935|0.884265720844,0.361251592636|0.24736097455|0.82662832737,-0.0286894366145|0.341873049736|0.752012908459,0.0951850414276|0.326916277409|0.753358602524,-136.0,1,-89.0,2,66.0,1,-69.0,1
0.00105115503538|0.297798901796|0.978208422661,0.311720609665|0.446655184031|0.891154766083,-0.161999478936|0.224360242486|0.84936106205,0.357586026192|0.248430758715|0.807017207146,-0.0115037113428|0.334356874228|0.745181143284,0.0903403759003|0.327880829573|0.737648963928,130.0,1,-84.0,2,66.0,1,-69.0,1
-0.00245049200021|0.279395580292|0.964463233948,0.307388752699|0.441714942455|0.876822054386,-0.176530346274|0.237703546882|0.836453378201,0.363828063011|0.247100248933|0.790751516819,-0.00561926886439|0.328802019358|0.746900975704,0.100682809949|0.339467287064|0.721530675888,129.0,1,-85.0,2,62.0,1,-65.0,1
-0.00547282816842|0.270891845226|0.959477722645,0.305341660976|0.428885996342|0.869729757309,-0.169533222914|0.249051064253|0.813595235348,0.373213559389|0.24262611568|0.77374368906,0.011376991868|0.333730369806|0.740110039711,0.108628317714|0.33747202158|0.714076578617,121.0,1,-90.0,2,64.0,1,-62.0,1
-0.0188356004655|0.225109875202|0.931482434273,0.309516131878|0.43534308672|0.857920348644,-0.175157532096|0.314526885748|0.808275043964,0.371697247028|0.241443842649|0.774443209171,-0.372107774019|0.428818941116|0.660266578197,0.108580261469|0.336250603199|0.707860887051,106.0,2,-81.0,2,179.0,1,-63.0,1
-0.00839222222567|0.212421581149|0.922763764858,0.31166779995|0.435510903597|0.847618222237,-0.164684310555|0.310651034117|0.807051897049,0.374940723181|0.24142485857|0.765390872955,-0.361371010542|0.435903310776|0.668765366077,0.110546939075|0.328157037497|0.691744506359,103.0,2,-79.0,2,179.0,1,-64.0,1
-0.0286176912487|0.245495542884|0.937537312508,0.307329893112|0.421755760908|0.838837385178,-0.123266391456|0.277162760496|0.739500522614,0.393472224474|0.238915756345|0.752709448338,-0.228262975812|0.212321847677|0.562137663364,0.124926067889|0.322054743767|0.690961897373,94.0,1,-93.0,2,-154.0,0,-59.0,0
-0.0223576817662|0.242533192039|0.929501652718,0.307818353176|0.426946043968|0.8489112854,-0.137680873275|0.272992253304|0.742677807808,0.418022274971|0.268998205662|0.743527233601,-0.212123036385|0.184879034758|0.560094952583,0.144146338105|0.340665280819|0.692431867123,102.0,1,-101.0,2,-147.0,0,-55.0,0
