LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftShoulderAngle,LeftShoulderNormal,RightShoulderAngle,RightShoulderNormal,LeftElbowAngle,LeftElbowNormal,RightElbowAngle,RightElbowNormal
0.130322530866|0.368295073509|1.64180147648,0.445790350437|0.377015650272|1.44933474064,0.119336798787|0.100698433816|1.6932965517,0.575216293335|0.154917359352|1.42283940315,0.0711343064904|-0.117886528373|1.64817535877,0.551788926125|-0.0623375549912|1.37670338154,-99.0,2,-117.0,2,156.0,0,-144.0,0
0.112494297326|0.368301779032|1.64249134064,0.436295628548|0.375482469797|1.44794642925,0.100623510778|0.104496479034|1.69082951546,0.560825645924|0.159200549126|1.43555939198,0.0506571568549|-0.110960260034|1.64536345005,0.537711322308|-0.0709749162197|1.38006258011,-99.0,2,-116.0,2,156.0,0,-143.0,0
0.0919675603509|0.373566120863|1.63932716846,0.424426436424|0.374506533146|1.45303297043,0.0729737877846|0.106197305024|1.68649208546,0.541070997715|0.159534797072|1.449660182,0.0294559728354|-0.0874287858605|1.64191484451,0.518463551998|-0.0800160989165|1.38988983631,-99.0,2,-115.0,2,156.0,0,-144.0,0
0.0785401389003|0.373528748751|1.63740885258,0.418560862541|0.373590707779|1.45824372768,0.0574518591166|0.111745096743|1.6845471859,0.529432535172|0.155543327332|1.45852446556,0.0097618252039|-0.0799736827612|1.63480889797,0.512122750282|-0.0807061120868|1.39517557621,-99.0,2,-114.0,2,154.0,0,-146.0,0
0.0345824956894|0.375893622637|1.63402795792,0.38839635253|0.367024600506|1.48627543449,-0.00825921725482|0.127402946353|1.68165159225,0.485722184181|0.150037616491|1.49832284451,-0.0468476675451|-0.0645180642605|1.62349796295,0.469195574522|-0.104258581996|1.41962981224,-102.0,2,-112.0,2,153.0,0,-146.0,0
0.0198643337935|0.375699877739|1.63434946537,0.37267267704|0.362501233816|1.50034105778,-0.0340621210635|0.127027377486|1.67917859554,0.470498293638|0.137271329761|1.51047348976,-0.0713187158108|-0.064910441637|1.6171298027,0.465785175562|-0.104749441147|1.42342197895,-103.0,2,-113.0,2,-152.0,0,-147.0,0
-0.025262741372|0.374608188868|1.64089763165,0.342007279396|0.356979072094|1.52809727192,-0.0788136422634|0.12029761821|1.67626595497,0.429265886545|0.12312105298|1.53990185261,-0.114197410643|-0.0706977918744|1.60658478737,0.442581832409|-0.107744850218|1.44395136833,-101.0,2,-111.0,2,-152.0,0,-150.0,0
-0.062695927918|0.375470161438|1.646042943,0.30360853672|0.355525702238|1.55822122097,-0.125503405929|0.116375237703|1.6732262373,0.394648313522|0.132837876678|1.5750297308,-0.153567418456|-0.0845097526908|1.59563398361,0.401835024357|-0.0723159387708|1.49356269836,-102.0,2,-114.0,2,-153.0,0,-148.0,0
-0.117915116251|0.374345719814|1.65308642387,0.260775744915|0.353756546974|1.58976256847,-0.165738239884|0.121958941221|1.66930997372,0.351033598185|0.124486848712|1.61265897751,-0.195756331086|-0.0715873837471|1.5943210125,0.371332794428|-0.0671755000949|1.51557743549,-98.0,2,-113.0,2,-155.0,0,-145.0,0
-0.134791120887|0.375433623791|1.65763390064,0.243843600154|0.35338768363|1.60938715935,-0.203372254968|0.130772456527|1.6691044569,0.316206783056|0.119046829641|1.64442253113,-0.233420208097|-0.0603549517691|1.59302687645,0.331293255091|-0.0839103907347|1.531650424,-103.0,2,-109.0,2,-155.0,0,-141.0,0
-0.15719486773|0.378173023462|1.66171097755,0.222271189094|0.355829209089|1.63111841679,-0.231441363692|0.136678591371|1.66673076153,0.285554468632|0.119569346309|1.66853642464,-0.262946784496|-0.052144035697|1.59220206738,0.301097154617|-0.0893208906054|1.54596912861,-104.0,2,-107.0,2,-156.0,0,-140.0,0
-0.16553530097|0.380081623793|1.66463494301,0.213733360171|0.357713460922|1.64234089851,-0.246511667967|0.13839264214|1.67045593262,0.267567127943|0.119745463133|1.68698525429,-0.286330282688|-0.0506827309728|1.59307336807,0.2794662714|-0.084943972528|1.56092691422,-105.0,2,-105.0,2,-156.0,0,-137.0,0
-0.186979532242|0.38386631012|1.67584824562,0.195121839643|0.362501770258|1.6746584177,-0.2614133358|0.140505075455|1.67521095276,0.254078656435|0.11950135231|1.70885121822,-0.301364570856|-0.0477755218744|1.59712445736,0.265817523003|-0.0832597985864|1.57846367359,-104.0,2,-107.0,2,-158.0,0,-138.0,0
-0.193973571062|0.382329583168|1.68045544624,0.189830347896|0.360964417458|1.68426895142,-0.268637776375|0.140071704984|1.67791497707,0.247030168772|0.116026997566|1.7168828249,-0.305893748999|-0.0481446534395|1.59874868393,0.259783089161|-0.0806824341416|1.59233283997,-104.0,2,-106.0,2,-157.0,0,-139.0,0
-0.201269939542|0.379351735115|1.69429457188,0.185973584652|0.360012054443|1.69945073128,-0.272963047028|0.136818811297|1.68699228764,0.242900505662|0.111562557518|1.73102080822,-0.308358669281|-0.0523427166045|1.60695624352,0.258560657501|-0.0749341845512|1.62192559242,-104.0,2,-106.0,2,-158.0,0,-142.0,0
-0.203078225255|0.377038747072|1.71066498756,0.185110330582|0.360224634409|1.71142160892,-0.270167946815|0.128154173493|1.7035279274,0.244967237115|0.109811238945|1.73800933361,-0.300916999578|-0.0629342645407|1.61985778809,0.259481757879|-0.084901817143|1.64088511467,-103.0,2,-106.0,2,-157.0,0,-146.0,0
-0.201188981533|0.372607856989|1.72103738785,0.1856674999|0.358905822039|1.72023129463,-0.268474280834|0.120885021985|1.71253609657,0.246863618493|0.110962405801|1.74550032616,-0.297258466482|-0.0805718824267|1.62431633472,0.261816501617|-0.0894426181912|1.64343929291,-103.0,2,-106.0,2,-157.0,0,-146.0,0
-0.199275076389|0.366885304451|1.73128962517,0.186939418316|0.356613665819|1.72879421711,-0.258376955986|0.106081947684|1.73050498962,0.250348061323|0.106817595661|1.75527191162,-0.275106161833|-0.0975914150476|1.63841986656,0.266819089651|-0.0930232778192|1.65419316292,-101.0,2,-106.0,2,-155.0,0,-146.0,0
-0.19842453301|0.35748514533|1.75036466122,0.190387114882|0.346998184919|1.74424481392,-0.252657175064|0.0969095379114|1.74504590034,0.260543495417|0.0373961366713|1.75794863701,-0.258874624968|-0.11795540154|1.64428818226,0.301578193903|-0.153688177466|1.62142324448,-100.0,2,-104.0,2,-154.0,0,-143.0,0
-0.196531102061|0.355108231306|1.76044225693,0.190233677626|0.34073343873|1.75537598133,-0.25118803978|0.093776486814|1.75395870209,0.259474039078|0.0239352397621|1.76410663128,-0.25256845355|-0.124970130622|1.65017187595,0.294862002134|-0.17686535418|1.63241100311,-100.0,2,-104.0,2,-154.0,0,-146.0,0
-0.197464749217|0.35345685482|1.77036619186,0.188685446978|0.338505923748|1.76407384872,-0.251452207565|0.088611446321|1.76340961456,0.250878810883|0.0891000702977|1.79723644257,-0.252096861601|-0.127378359437|1.65401411057,0.284558057785|-0.117283068597|1.67462849617,-99.0,2,-106.0,2,-152.0,0,-142.0,0
-0.197464749217|0.35345685482|1.77036619186,0.188685446978|0.338505923748|1.76407384872,-0.251452207565|0.088611446321|1.76340961456,0.250878810883|0.0891000702977|1.79723644257,-0.252096861601|-0.127378359437|1.65401411057,0.284558057785|-0.117283068597|1.67462849617,-99.0,2,-106.0,2,-152.0,0,-142.0,0
-0.236876934767|0.357854783535|1.78733325005,0.149386137724|0.338835299015|1.80234587193,-0.307918459177|0.102586254478|1.77023863792,0.196114301682|0.0708916932344|1.81560373306,-0.319535493851|-0.112047918141|1.67912018299,0.236801803112|-0.134581252933|1.70577657223,-103.0,2,-103.0,2,-157.0,0,150.0,0
-0.24000094831|0.356994509697|1.78740131855,0.147217229009|0.338209301233|1.80295825005,-0.310642033815|0.10347918421|1.76818537712,0.192319661379|0.0691445171833|1.81411647797,-0.321099489927|-0.110216423869|1.67514371872,0.233837753534|-0.134125292301|1.70663952827,-103.0,2,-102.0,2,-157.0,0,150.0,0
-0.242482587695|0.355557322502|1.78742229939,0.144824817777|0.337455540895|1.80305826664,-0.311886548996|0.102687254548|1.76700854301,0.190129876137|0.0684147626162|1.81331753731,-0.321098446846|-0.109806828201|1.67147684097,0.231455668807|-0.134670674801|1.70601201057,-103.0,2,-102.0,2,-157.0,0,150.0,0
-0.24655161798|0.354763299227|1.78886926174,0.143196746707|0.33684015274|1.80321872234,-0.312191933393|0.102692045271|1.76672661304,0.189445331693|0.068066239357|1.81302678585,-0.319952964783|-0.109030254185|1.66986489296,0.228608295321|-0.134404957294|1.70418941975,-102.0,2,-102.0,2,-157.0,0,150.0,0
-0.248506173491|0.35376432538|1.78917813301,0.141682505608|0.336502790451|1.80288887024,-0.312210261822|0.10151938349|1.76660621166,0.188840404153|0.06760712713|1.81233906746,-0.319224357605|-0.109638482332|1.66899549961,0.228155374527|-0.13510838151|1.70469164848,-102.0,2,-103.0,2,-157.0,0,150.0,0
-0.248783886433|0.353769391775|1.7891740799,0.141092896461|0.336522430182|1.80259513855,-0.311980098486|0.100830890238|1.76662278175,0.188594758511|0.0674977600574|1.81206119061,-0.318914979696|-0.110138885677|1.668846488,0.227374330163|-0.135141715407|1.70429074764,-102.0,2,-103.0,2,-157.0,0,150.0,0
-0.250344753265|0.352766603231|1.78961586952,0.140185981989|0.336595654488|1.80245471001,-0.31133261323|0.0990510880947|1.76717936993,0.188203305006|0.0667371526361|1.81140422821,-0.318509459496|-0.111560948193|1.66905462742,0.226349174976|-0.136051237583|1.70410990715,-101.0,2,-103.0,2,-157.0,0,151.0,0
